name,clade,class
EnSpm-N29_DR,EnSpm/CACTA,DNA transposon
EnSpm-N2_DR,EnSpm/CACTA,DNA transposon
EnSpm-N30_DR,EnSpm/CACTA,DNA transposon
EnSpm-N31_DR,EnSpm/CACTA,DNA transposon
EnSpm-N32_DR,EnSpm/CACTA,DNA transposon
EnSpm-N33_DR,EnSpm/CACTA,DNA transposon
EnSpm-N34B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N34_DR,EnSpm/CACTA,DNA transposon
EnSpm-N35_DR,EnSpm/CACTA,DNA transposon
EnSpm-N36B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N36_DR,EnSpm/CACTA,DNA transposon
EnSpm-N37_DR,EnSpm/CACTA,DNA transposon
EnSpm-N38_DR,EnSpm/CACTA,DNA transposon
EnSpm-N39B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N39C_DR,EnSpm/CACTA,DNA transposon
EnSpm-N39_DR,EnSpm/CACTA,DNA transposon
EnSpm-N3B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N3C_DR,EnSpm/CACTA,DNA transposon
EnSpm-N3_DR,EnSpm/CACTA,DNA transposon
EnSpm-N40B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N40_DR,EnSpm/CACTA,DNA transposon
EnSpm-N41_DR,EnSpm/CACTA,DNA transposon
EnSpm-N42B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N42_DR,EnSpm/CACTA,DNA transposon
EnSpm-N43_DR,EnSpm/CACTA,DNA transposon
EnSpm-N44_DR,EnSpm/CACTA,DNA transposon
EnSpm-N45_DR,EnSpm/CACTA,DNA transposon
EnSpm-N46_DR,EnSpm/CACTA,DNA transposon
EnSpm-N47B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N47_DR,EnSpm/CACTA,DNA transposon
EnSpm-N48B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N48_DR,EnSpm/CACTA,DNA transposon
EnSpm-N49B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N49_DR,EnSpm/CACTA,DNA transposon
EnSpm-N4B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N4_DR,EnSpm/CACTA,DNA transposon
EnSpm-N59_DR,EnSpm/CACTA,DNA transposon
EnSpm-N5B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N5_DR,EnSpm/CACTA,DNA transposon
EnSpm-N60_DR,EnSpm/CACTA,DNA transposon
EnSpm-N61_DR,EnSpm/CACTA,DNA transposon
EnSpm-N62_DR,EnSpm/CACTA,DNA transposon
EnSpm-N6B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N6_DR,EnSpm/CACTA,DNA transposon
EnSpm-N7B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N7C_DR,EnSpm/CACTA,DNA transposon
EnSpm-N7_DR,EnSpm/CACTA,DNA transposon
EnSpm-N8_DR,EnSpm/CACTA,DNA transposon
EnSpm1_DR,EnSpm/CACTA,DNA transposon
EnSpmN1_DR,EnSpm/CACTA,DNA transposon
ERV1-1-I_DR,ERV1,Endogenous Retrovirus
ERV1-1-LTR_DR,ERV1,Endogenous Retrovirus
ERV1-10_DR-I,ERV1,Endogenous Retrovirus
ERV1-10_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-11_DR-I,ERV1,Endogenous Retrovirus
ERV1-12_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-1B_DR-I,ERV1,Endogenous Retrovirus
ERV1-1B_DR-LTR,ERV1,Endogenous Retrovirus
